lat,lon,allocatedcity,concat
54.7,-1.2,newcastle,54.7:-1.2
51.7,-0.7,oxford,51.7:-0.7
54.1,-0.2,scarborough,54.1:-0.2
55.8,-3.9,edinburgh,55.8:-3.9
50.9,0,brighton,50.9:0
53.1,-1.5,sheffield,53.1:-1.5
53.8,-3,warrington,53.8:-3
52.6,-0.3,peterborough,52.6:-0.3
56.1,-3.9,edinburgh,56.1:-3.9
54.3,-1,scarborough,54.3:-1
51.8,0.5,london,51.8:0.5
50.9,0.2,brighton,50.9:0.2
52.6,-1.7,birmingham,52.6:-1.7
53.8,-1.4,sheffield,53.8:-1.4
53.8,-0.3,scarborough,53.8:-0.3
51.3,-2.4,salisbury,51.3:-2.4
52.3,-1.1,birmingham,52.3:-1.1
51.7,-0.2,london,51.7:-0.2
57.3,-2.4,Aberdeen,57.3:-2.4
55.6,-2.8,edinburgh,55.6:-2.8
52,-2.2,birmingham,52:-2.2
53.4,0,peterborough,53.4:0
53.4,-2.4,warrington,53.4:-2.4
52.4,-1.4,birmingham,52.4:-1.4
51.1,-0.8,brighton,51.1:-0.8
51.8,-0.1,london,51.8:-0.1
53,-2.1,birmingham,53:-2.1
51.4,-2.2,salisbury,51.4:-2.2
55.5,-4.3,dumfries,55.5:-4.3
53.3,-1.4,sheffield,53.3:-1.4
51.5,-0.8,london,51.5:-0.8
51.6,0.1,london,51.6:0.1
50.3,-5,okehampton,50.3:-5
51,-0.3,brighton,51:-0.3
53.9,-0.7,scarborough,53.9:-0.7
52.1,1.2,norwich,52.1:1.2
52.5,-2.8,corwen,52.5:-2.8
52.3,-0.8,peterborough,52.3:-0.8
50.7,-3.6,okehampton,50.7:-3.6
50.9,-2.5,salisbury,50.9:-2.5
52.4,-1.3,birmingham,52.4:-1.3
51.4,-0.7,london,51.4:-0.7
53.5,-1.3,sheffield,53.5:-1.3
54,-0.9,scarborough,54:-0.9
54.3,-2.7,kendal,54.3:-2.7
54.2,-3.1,kendal,54.2:-3.1
54.1,-3.2,kendal,54.1:-3.2
52.1,-0.4,peterborough,52.1:-0.4
51,-0.2,brighton,51:-0.2
51,-3.2,okehampton,51:-3.2
51.6,-0.6,london,51.6:-0.6
53.9,-2.7,kendal,53.9:-2.7
50.8,-1.5,salisbury,50.8:-1.5
51.3,1.3,canterbury,51.3:1.3
51.6,-1.8,oxford,51.6:-1.8
57.7,-2,Aberdeen,57.7:-2
51.2,-2.3,salisbury,51.2:-2.3
51.5,-0.9,oxford,51.5:-0.9
56.5,-3.3,edinburgh,56.5:-3.3
51.1,1.3,canterbury,51.1:1.3
51.7,0.2,london,51.7:0.2
53.7,-1,sheffield,53.7:-1
52,-0.5,london,52:-0.5
55.8,-4.9,edinburgh,55.8:-4.9
57.2,-2.2,Aberdeen,57.2:-2.2
51.3,-2.2,salisbury,51.3:-2.2
52.9,-2.8,corwen,52.9:-2.8
52.7,-2.7,birmingham,52.7:-2.7
51.3,-1.1,salisbury,51.3:-1.1
50.7,-3.4,okehampton,50.7:-3.4
57.3,-4.5,Fort William,57.3:-4.5
56,-2.9,edinburgh,56:-2.9
52.7,-2.1,birmingham,52.7:-2.1
53.5,-2.6,warrington,53.5:-2.6
53.1,-3,corwen,53.1:-3
53.2,-1.4,sheffield,53.2:-1.4
52.9,0.9,norwich,52.9:0.9
54.3,-7.6,dumfries,54.3:-7.6
54.1,-2.8,kendal,54.1:-2.8
54.5,-1.4,newcastle,54.5:-1.4
56.8,-5.1,Fort William,56.8:-5.1
52.1,-2.8,cardiff,52.1:-2.8
53.4,-2.7,warrington,53.4:-2.7
56.2,-3.9,edinburgh,56.2:-3.9
53.8,-1.1,sheffield,53.8:-1.1
